label,text,user
4,"Lee et al., 'A New Control Protocol for Home Appliance LnCP' International Symposium on Industrial Electronics, 2001, Proceedings, ISIE 2001, Jun. 12-16, 2001 pp. 286-291.",1
7,"GenBank® Accession No. NC-013450; GenBank® GI No. 269201690, Feb. 14, 2012, p. 1 of 404.",1
4,"RASMUSSEN-WILSON ET AL., APPL. ENVIRON. MICROBIOL., vol. 63, 1997, pages 3488 - 3493",1
5,"Brazillian Written Opinion dated Jan. 3, 2017 in corresponding Brazillian Patent Application No. PI0414906-8.",1
8,Community Forum on www.motorcyclenews.com/MCN/community/Forums/ regarding pay by the mile insurance.,8
4,"David E. Culler and Wei Hong, Wireless Sensor Networks, Comm. of ACM, Jun. 2004/vol. 47, No. 6, pp. 30-33, Berkeley, CA. (4 pages).",1
4,"BERZOFSKY ET AL., NATURE, vol. 334, 1988, pages 706",1
5,European Search Report and annex thereto in corresponding application EP 87 30 2359.,1
7,"GenBank Acession GY—198391; May 23, 2011 [online] downloaded from: http://www.ncbi.nlm.nih.gov/nuccore/333666014/ on Jan. 9, 2017.",1
4,"Kinzler and Vogelstein, The GLI Gene Encodes a Nuclear Protein Which Binds Specific Sequences in the Human Genome, Molec. Cel. Biol. 10: 634 642 (1990).",1
10,"King, Bruce et al., 'M3D TM Technology: Maskless Mesoscale TM Materials Deposition', Optomec pamphlet 2001.",8
4,"JPN6016004139; ＭｃＮａｌｌｙ，　Ｄａｖｉｄ　Ｊ．；　Ｗｕｒｍｓ，　Ｋｉｒｓｔｉｎ　Ｖ．；　Ｌａｂｂｅ，　Ｃａｒｏｌｉｎｅ；　Ｑｕｉｄｅａｕ，　Ｓｔｅｐｈａｎｅ；　Ｂｅｌａｎｇｅｒ，　Ｒｉｃｈａｒｄ　Ｒ．: 'Ｃｏｍｐｌｅｘ　Ｃ-Ｇｌｙｃｏｓｙｌ　Ｆｌａｖｏｎｏｉｄ　Ｐｈｙｔｏａｌｅｘｉｎｓ　ｆｒｏｍ　Ｃｕｃｕｍｉｓ　ｓａｔｉｖｕｓ' Ｊｏｕｒｎａｌ　ｏｆ　Ｎａｔｕｒａｌ　Ｐｒｏｄｕｃｔｓ Ｖｏｌ．　６６，　Ｉｓｓ．　９, 2003, Ｐ．　１２８０-１２８３",1
9,"PATENT ABSTRACTS OF JAPAN vol. 1999, no. 07 31 March 1999 (1999-03-31)",1
4,"Walz, G., et al., Recognition by ELAM 1 of the Sialyl Le x Determinant on Myeloid and Tumor Cells, Science, vol. 250, pp. 1132 1135 (Nov. 23, 1990).",8
4,"Chen et al. (2004) 'Herringbone Buckling Patterns of Compressed Thin Films on Compliant Substrates,' J. Appl. Mech. 71 :597-603.",1
6,"Final Office Action dated Jun. 30, 2017 in U.S. Appl. No. 14/815,022, 7 pages.",1
5,"International Search Report EP09152032 dated Jun. 17, 2009.",1
8,Online definition of the term 'Non-volatile memory' at www.bitpipe.com; 1 page.,1
4,"'An Application of the Global Positioning System to Search and Rescue and Remote Tracking', Raab, et al. Navigation 'Journal of Institute of Navigation, vol. 24, No. 3, 1977'.",1
5,"Applicant-Initiated Interview Summary Dated Dec. 24, 2014 From the US Patent and Trademark Office Re. U.S. Appl. No. 13/884,989.",1
