label,text,user
9,CN 10036495 English translation,1
9,"U.S. Appl. No. 15/233,294 Arnone, et al., filed Aug. 24, 2016.",1
4,"Woodstock Chimes, Instruments of Nature, 20 pages, (C)1996.",8
1773,"Petitioner's Exhibit List (as of May 12, 2017) for Inter Partes Review IPR2016-00921, dated May 12, 2017, 4 pages.",1
10,"MegaJackpots Advertisement written by IGT, published in 1998 (1 page).",1
10,"MegaJackpots Advertisement written by IGT, published in 1998 (1 page).",7
4,"Steward, Shawn, Self-Serve Customers, Cellular Business, Jul. 1995, 12, 7, p. 40.",1
6,"'U.S. Appl. No. 11/876,752, Non-Final Office Action mailed Aug. 16, 2010', , 7 pgs.",1
9,"U.S. Appl. No. 13/925,696 filed by Abraham et al. on Jun. 24, 2013. (Unpublished).",1
8,"'Jstemplates: Quick example,' accessed at http://code.google.com/p/google-jstemplate/source/browsel?r=10, 71 pages (Aug. 19, 2008).",1
4,"Jin et al. 'Embedded Memory in System-On-Chip Design: Architecture and Prototype Implementation,' CCECE, 2003, pp. 141-146.",1
4,"ITU-T, 'ITU-T Recommendation H.262, Information Technology-Generic Coding of Moving Pictures and Associated Audio Information: Video,' 205 pp. (1995).",1
5,"Supplemental European Search Report for related PCT application PCT/US0147634, no date.",1
1752,"Postel, J. 'User Datagram Protocol,' RFC 768, Aug. 28, 1980, http://www.rfc-editor.org/rfc/rfc768.txt.",1
9,"Chinese Patent No. 101950279, issued on Sep. 19, 2012, granted in corresponding Chinese Patent Application No. 201010505992.5.",1
9,"U.S. Appl. No. 11/008,567, filed Dec. 10, 2004, Terao et al.",1
6,"U.S. Appl. No. 11/490,515, Issue Notification dated Mar. 4, 2015, 1 page.",1
4,"Rogado, Jose , 'A Prototype File System for the Cluster OS', OSF Research Institute, Gieres, France, http://netlab.ulusofona.pt/cd/teoricas/Prototype-Cluster-FS.pdf, May 1993, 13 pages.",1
4,"Peretz, 'COPS to Enable Global Roaming Across Cellular And WLANs,' p. 1 (Oct. 9, 2001).",1
12,"DAKO Catalog, 'TOP2A Fish pharmDxTM Kit,' pp. 1-33, May 24, 2007.",1
9,"U.S. Appl. No. 12/811,577, filed Jan. 7, 2009, Vitae Pharmaceuticals, Inc.",1
12,"http://www.skytel.co.cr/microsoft/research/acrobat/050810: 'MDA Pro User Manual,' Aug. 10, 2005.",1
6,"Office Action from Australian Patent Office dated Sep. 13, 2006.",1
8,"'IC Tower Patent: Simple Technology Receives Patent on the IC Tower, a Stacked Memory Technology,' http://www.simpletech.com/whatsnew/memory/@60824.htm (1998).",1
6,"'U.S. Appl. No. 12/549,347, Notice of Allowance mailed Apr. 26, 2013', 9 pgs.",1
9,"recuperado en línea de EPODOC (Oficina Europea de Patentes) el día 31.07.2008 & JP 2002175117 A (DAIFUKU KK) 21.06.2002, resumen figuras 1,2,4.",1
7,"NCBI, (2005), Accession NP<SUB>-</SUB>178322.",1
4,"S. Matsumoto, et al. 'Display Characteristics of In-Plane-Switching (IPS) LCDs a Wide-Viewing-Angle 14.5-in. IPS TFT-LCD.' Euro Display. 1996, pp. 445-448.",1
5,"International Search Report and Written Opinion in related application PCT/US14/49839 dated Jan. 15, 2015, 13 pages.",1
